Country Code,Country Name,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ABW,Aruba,GDP (constant 2015 US$),2754814814,2664631917,2717272980,2932251757,2967859537,2999040092,3053029591,3050260248,2729380540,2628802065,2719392023,2682140078,2794742549,2803126777,2962905028,3025126021,3085628515,,,
AFE,Africa Eastern and Southern,GDP (constant 2015 US$),5.10E+11,5.30E+11,5.46E+11,5.77E+11,6.13E+11,6.54E+11,6.99E+11,7.31E+11,7.38E+11,7.76E+11,8.07E+11,8.23E+11,8.59E+11,8.93E+11,9.19E+11,9.37E+11,9.61E+11,9.84E+11,1.00E+12,9.75E+11
AFG,Afghanistan,GDP (constant 2015 US$),,7228792186,7867259194,7978511521,8874475612,9349917057,10642666467,11060389404,13426265140,15354604612,15420069703,17386481261,18360253681,18860486755,19134211764,19566705070,20084636379,20323488525,21118462797,20621946476
AFW,Africa Western and Central,GDP (constant 2015 US$),3.36E+11,3.69E+11,3.89E+11,4.20E+11,4.45E+11,4.69E+11,4.95E+11,5.26E+11,5.59E+11,5.98E+11,6.27E+11,6.59E+11,6.99E+11,7.40E+11,7.61E+11,7.62E+11,7.79E+11,8.02E+11,8.28E+11,8.21E+11
AGO,Angola,GDP (constant 2015 US$),41884218272,47607984244,49031391566,54401732107,62577722357,69803999474,79583552535,88469962099,89229664824,93159279072,96393747204,1.05E+11,1.10E+11,1.15E+11,1.16E+11,1.13E+11,1.13E+11,1.11E+11,1.10E+11,1.04E+11
ALB,Albania,GDP (constant 2015 US$),6559561241,6857137321,7236243584,7635298387,8057257368,8532849798,9043392346,9721650519,10047742807,10420206418,10685442993,10836881664,10945469119,11139690871,11386850130,11764322012,12211628287,12702457552,12970913828,12457862571
AND,Andorra,GDP (constant 2015 US$),2422692295,2532836662,2753046642,2977025606,3137719375,3288602532,3339680716,3154021641,2986768713,2927781286,2927545021,2781915942,2683224789,2750425228,2789870188,2893365390,2903378514,2949506390,3008955097,2649303924
ARB,Arab World,GDP (constant 2015 US$),1.38E+12,1.39E+12,1.46E+12,1.59E+12,1.67E+12,1.77E+12,1.85E+12,1.96E+12,1.97E+12,2.07E+12,2.15E+12,2.25E+12,2.32E+12,2.38E+12,2.45E+12,2.53E+12,2.55E+12,2.61E+12,2.67E+12,2.53E+12
ARE,United Arab Emirates,GDP (constant 2015 US$),1.93E+11,1.98E+11,2.15E+11,2.36E+11,2.47E+11,2.71E+11,2.80E+11,2.89E+11,2.74E+11,2.78E+11,2.97E+11,3.11E+11,3.26E+11,3.41E+11,3.58E+11,3.69E+11,3.78E+11,3.82E+11,3.95E+11,3.71E+11
ARG,Argentina,GDP (constant 2015 US$),3.78E+11,3.37E+11,3.67E+11,4.00E+11,4.35E+11,4.70E+11,5.13E+11,5.33E+11,5.02E+11,5.53E+11,5.86E+11,5.80E+11,5.94E+11,5.79E+11,5.95E+11,5.82E+11,5.99E+11,5.83E+11,5.71E+11,5.15E+11
ARM,Armenia,GDP (constant 2015 US$),4339529614,4912347523,5600076177,6188084175,7048227876,7978593955,9071661327,9697605959,8330243518,8513508876,8913643793,9555426146,9870755209,10226102396,10553337673,10574444348,11367527675,11958639114,12867495686,11915301005
ASM,American Samoa,GDP (constant 2015 US$),,744923664.1,752116030.5,755198473.3,752116030.5,721291603.1,734648855,715126717.6,685329771,687384732.8,687384732.8,657587786.3,641148091.6,652450381.7,673000000,661697709.9,615461068.7,631900763.4,628818320.6,653477862.6
