Country Code,Country Name,Indicator Name,Indicator Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ABW,Aruba,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
AFE,Africa Eastern and Southern,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,8.245411771,7.625979038,11.63815132,11.86747622,9.232693676,11.43709717,11.69893586,11.08362924,,
AFW,Africa Western and Central,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
AGO,Angola,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,8.27722515,8.534877873,8.677542587,9.326715075,7.957420025,8.4217787,10.1754099,11.63032854,13.32358872,,
ALB,Albania,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,9.403213849,8.68806862,8.572605516,8.372028484,8.577676505,9.5261376,9.726742682,10.16743865,10.14872352,10.45267478,10.39194618
AND,Andorra,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
ARB,Arab World,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
ARE,United Arab Emirates,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
ARG,Argentina,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,12.12726852,12.77730216,12.35705054,11.93326041,12.47726376,11.27801265,11.15838933,11.49585249,12.12074494,12.5481094,12.28069272,11.23369804,11.56590376,11.03865417,13.47199783,15.45270788
ARM,Armenia,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,21.5459003,22.92492642,22.47723053,23.01136724,20.99481053,20.23822468,17.22175677,15.93070704,15.2842664,13.5696527,14.68498186,16.2048667,15.70733685,15.01764558,14.13908844,13.12771551
ASM,American Samoa,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,5.641336193,6.322445264,6.819539753,6.998994,8.274135,9.851027
AUS,Australia,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,6.734614929,6.641731188,6.345721763,5.604792696,5.946205241,5.42984328,5.294369308,5.313354129,5.302937198,5.401597776,6.175417973,6.498370245,6.92002653,6.885661307,7.411484268,7.998032421
AUT,Austria,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,5.23981735,6.484498557,6.284054714,6.976800325,7.492756256,7.186052759,7.770113643,7.985940154,6.841915759,7.446891279,7.334234175,7.541992275,7.707002394,7.949258695,
AZE,Azerbaijan,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,11.70575083,13.19402706,14.27227217,14.52249714,13.44803047,13.45261723,13.82867177,12.17411758,,,
BEL,Belgium,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,3.331136934,4.204646717,3.28122187,4.628323246,4.96530634,4.599802759,5.760581512,6.389941261,6.627313737,6.783034374,7.053282196,7.549625197,7.614146331,7.446390627,7.062679621
BEN,Benin,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
BGD,Bangladesh,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,6.893318033,5.418438223,6.038947961,6.183876981,5.546805146,5.631425062,5.175476795,4.74201086,5.168285407,4.774469259
BGR,Bulgaria,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,11.4018219,10.84215703,10.46769435,10.76469818,10.09607269,10.35152032,11.56687828,12.01590157,11.62960744,11.3934048,10.82327218,11.59431785,11.88220234
BHR,Bahrain,Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
BHS,"Bahamas, The",Bank capital to assets ratio (%),FB.BNK.CAPA.ZS,,,,,,,,,,,,,,,,,,,,
