Country Code,Country Name,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ABW,Aruba,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,96.82263947,,,,,,,,97.80741882,,
AFE,Africa Eastern and Southern,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,31.44885063,,,,,,,,,
AFW,Africa Western and Central,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
AGO,Angola,"Literacy rate, adult total (% of people ages 15 and above)",67.4054184,,,,,,,,,,,,,66.03011322,,,,,,
ALB,Albania,"Literacy rate, adult total (% of people ages 15 and above)",98.71298218,,,,,,,95.93863678,,,96.84529877,97.24697113,,,,,,98.14115143,,
AND,Andorra,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
ARB,Arab World,"Literacy rate, adult total (% of people ages 15 and above)",64.8777771,66.04557037,68.68773651,69.63665771,69.21839905,68.13700867,68.62271881,69.62151337,68.30744934,69.24862671,71.06060791,74.43569183,74.0435791,75.71389008,73.49938965,74.84079742,75.76682281,72.86908722,73.11425018,73.36776733
ARE,United Arab Emirates,"Literacy rate, adult total (% of people ages 15 and above)",,,,,90.03385162,,,,,,,,,,,,,,97.55692291,
ARG,Argentina,"Literacy rate, adult total (% of people ages 15 and above)",97.1933136,,,,,98.6108017,,,98.98342133,98.95497131,99.10832977,99.10523224,99.12194824,98.99388885,99.17996216,99.12500763,,99.0038681,,
ARM,Armenia,"Literacy rate, adult total (% of people ages 15 and above)",99.40016174,,,,,,,,,,99.74440765,,,,,,99.73606873,,,99.78861237
ASM,American Samoa,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,"Literacy rate, adult total (% of people ages 15 and above)",98.94999695,,,,,,,,,,98.94999695,,,,98.94999695,,,,,
AUS,Australia,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
AUT,Austria,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
AZE,Azerbaijan,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,99.59319305,,99.75984192,99.77114105,99.77863312,99.77577209,99.78936005,99.78898621,99.78806305,99.79006195,99.79122925,,99.79598236,
BDI,Burundi,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,48.08406067,,,,,,61.51348877,,,68.37532806,,,
BEL,Belgium,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
BEN,Benin,"Literacy rate, adult total (% of people ages 15 and above)",,34.65784836,,,,28.70211029,,,,,,32.94881821,,,,,,42.36240005,,
BFA,Burkina Faso,"Literacy rate, adult total (% of people ages 15 and above)",,,21.82291985,,23.52219963,22.47257996,28.29365921,,,,,,,34.59939957,,,,39.3458519,,
BGD,Bangladesh,"Literacy rate, adult total (% of people ages 15 and above)",47.48550034,,,,,,46.66360092,,,,58.7691803,57.86074829,61.01554108,61.09329987,65.1373291,72.7587204,72.89296722,73.91220093,74.6844635,74.9088974
BGR,Bulgaria,"Literacy rate, adult total (% of people ages 15 and above)",98.20355988,,,,,,,,,,98.35244751,,,,,,,,,
BHR,Bahrain,"Literacy rate, adult total (% of people ages 15 and above)",86.54873657,,,,,,,,,90.97740173,,,,,,,,,,
BHS,"Bahamas, The","Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,98.14203644,,96.99176788,,,,,,,
BLR,Belarus,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,99.6170578,,,,,,,,,,99.87400055,
BLZ,Belize,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
BMU,Bermuda,"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,"Literacy rate, adult total (% of people ages 15 and above)",86.72367096,,,,,,90.74346924,90.69811249,91.16783142,,92.22615051,94.46057129,,,92.45507813,,,,,
BRA,Brazil,"Literacy rate, adult total (% of people ages 15 and above)",,,,88.61624146,,89.61522675,90.0093689,90.03662109,90.29821014,90.37918091,91.41123962,91.33785248,91.48423767,91.72943115,92.04789734,92.80844116,93.07582092,93.22750092,,
BRB,Barbados,"Literacy rate, adult total (% of people ages 15 and above)",,,,99.59999847,,,,,,,,,,99.59999847,,,,,,
