Country Name,Country Code,Indicator Name,Indicator Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,International migrant stock (% of population),SM.POP.TOTL.ZS,,,,,32.52991573,,,,,33.78741498,,,,,34.76210186,,,,,
Aruba,ABW,"International migrant stock, total",SM.POP.TOTL,,,,,32540,,,,,34327,,,,,36114,,,,,
Aruba,ABW,Net migration,SM.POP.NETM,,6263,,,,,-441,,,,,1253,,,,,1004,,,
Aruba,ABW,Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Average transaction cost of sending remittances to a specific country (%),SI.RMT.COST.IB.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,,,,,,,
Aruba,ABW,DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79
Aruba,ABW,GDP deflator: linked series (base year varies by country),NY.GDP.DEFL.ZS.AD,105.6290576,110.4113871,112.7279411,115.1752236,119.0137774,122.5190838,129.8087328,136.393772,138.7493924,137.8099839,142.0921544,143.2133838,147.9203575,150.8839129,151.5476875,149.4692337,151.8817441,,,
Aruba,ABW,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,5.62905761,4.527475306,2.098111468,2.170963513,3.332794823,2.945294623,5.949806916,5.072878451,1.727073333,-0.677054173,3.107300649,0.789086084,3.286685576,2.003480469,0.439923993,-1.371485004,1.614051547,,,
Aruba,ABW,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Public credit registry coverage (% of adults),IC.CRD.PUBL.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Private credit bureau coverage (% of adults),IC.CRD.PRVT.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,46.01885365,51.3276259,55.63532338,52.39729255,54.74010067,54.88868664,52.96466567,52.46267806,57.12123854,60.35262912,58.19489483,60.55142164,59.16367303,60.24055072,56.62691379,57.2219424,57.24649306,57.25839458,,
Aruba,ABW,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Claims on other sectors of the domestic economy (% of GDP),FS.AST.DOMO.GD.ZS,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS,-1.193279022,-2.230158273,-1.197484798,-0.71606919,-0.574400767,-1.5759447,-1.418585772,-4.348331298,-3.906863403,-0.967048376,-1.407077125,2.356557196,1.528103151,2.606142981,3.063334339,4.710310052,6.563820466,6.907060205,,
Aruba,ABW,"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,Real interest rate (%),FR.INR.RINR,6.599455252,6.479181358,8.42512012,7.271181784,7.419914646,6.367173363,4.200284279,5.165102193,8.820588633,11.0518814,5.715113589,7.551327442,5.047421548,5.192489028,6.531343062,8.386504658,4.611516205,,,
